Module,Feature,Screen ID,Screen Name,Suggested Route,Roles,Priority,Orientation,Entry Points,Primary CTA,Next / Exit,Required States,Key Components,UX Notes
Public / Buyer,Cart,B-011,Cart drawer,/cart?drawer=true,"Guest, Buyer",MVP,Desktop + Mobile,"Add to cart, cart icon",Checkout,Cart page/checkout,"Empty cart, item removed, price changed","Drawer, mini cart items, subtotal, checkout CTA",Use non-blocking drawer after add-to-cart; preserve shopping context.
Public / Buyer,Cart,B-012,Cart page,/cart,"Guest, Buyer",MVP,Desktop + Mobile,"Cart icon, drawer CTA",Proceed to checkout,Checkout address,"Empty cart, stock changed, single-seller restriction","Cart list, quantity controls, seller grouping, totals","For MVP, clearly warn if cart is limited to one seller."
Public / Buyer,Checkout,B-013,Checkout: address,/checkout/address,Buyer,MVP,Desktop + Mobile,Cart checkout CTA,Continue to delivery,Delivery step,"No address, invalid address, save failed","Checkout stepper, address cards, address form",Guest checkout can be later; MVP can require login for safer orders.
Public / Buyer,Checkout,B-014,Checkout: delivery,/checkout/delivery,Buyer,MVP,Desktop + Mobile,Address step,Continue to payment,Payment step,"No delivery option, seller shipping issue","Shipping options, delivery estimate, policy note",Default to available shipping; show total updates immediately.
Public / Buyer,Checkout,B-015,Checkout: payment,/checkout/payment,Buyer,MVP,Desktop + Mobile,Delivery step,Pay securely,Processing step/payment provider,"Payment method unavailable, validation error","Payment provider frame/redirect, summary, security reassurance",Do not collect raw card data directly unless PCI scope is handled.
Public / Buyer,Checkout,B-016,Checkout: review,/checkout/review,Buyer,MVP,Desktop + Mobile,Payment step if review-before-pay enabled,Place order / Pay,Processing,"Price changed, stock reservation expired","Order summary, address, shipping, items, policies","Optional; if payment page already includes summary, this can be merged."
Public / Buyer,Checkout,B-017,Payment processing,/checkout/processing,Buyer,MVP,Desktop + Mobile,Payment submission/webhook wait,View order when confirmed,Success/failed,"Timeout, redirect failed, webhook pending","Progress state, reassurance copy, retry timer",Never leave user on blank spinner; explain what is happening.
Public / Buyer,Checkout,B-018,Payment success / order confirmation,/checkout/success/:orderId,Buyer,MVP,Desktop + Mobile,Payment confirmed,Track order,Order detail/home,"Webhook pending, email resend failed","Success panel, order summary, next steps",Show clear delivery and seller fulfilment expectations.
Public / Buyer,Checkout,B-019,Payment failed / retry,/checkout/failed,Buyer,MVP,Desktop + Mobile,Payment failure,Retry payment,Payment step/cart,"Payment expired, stock released","Failure message, retry CTA, support link",Use calm copy; keep cart reserved only if allowed by timer.
Public / Buyer,Orders,B-020,Buyer order list,/account/orders,Buyer,MVP,Desktop + Mobile,"Account nav, success page",Open order,Order detail,"No orders, loading","Order cards/table, status badges, filters",Mobile order cards should show status and next action first.
Public / Buyer,Orders,B-021,Buyer order detail,/account/orders/:orderId,Buyer,MVP,Desktop + Mobile,"Order list, confirmation",Track / request return / review,Tracking/return/review,"Shipment not available, return window closed","Status timeline, items, seller, payment, delivery, actions",Use one contextual primary action based on order status.
Public / Buyer,Orders,B-022,Shipment tracking detail,/account/orders/:orderId/tracking,Buyer,MVP,Desktop + Mobile,Order detail,Contact support,Order detail/support,"Tracking unavailable, delayed shipment","Tracking timeline, courier info, delivery address","Make delivery uncertainty visible, not hidden."
Public / Buyer,Reviews,B-023,Leave product/seller review,/account/orders/:orderId/review,Buyer,MVP,Desktop + Mobile,Delivered order detail,Submit review,Order detail,"Review already submitted, moderation warning","Rating, text area, image upload optional",Ask separately for product and seller fulfilment experience.
Public / Buyer,Returns & disputes,B-024,Start return request,/account/orders/:orderId/return,Buyer,MVP,Desktop + Mobile,Order detail,Start return,Return reason,"Return window closed, item not eligible","Eligibility summary, product selector, policy copy",Use plain language; avoid legal-heavy text.
Public / Buyer,Returns & disputes,B-025,Return reason and evidence,/account/orders/:orderId/return/reason,Buyer,MVP,Desktop + Mobile,Return start,Submit return,Return status,"Missing reason, upload failed","Reason picker, notes, photo upload, refund expectation",Show required evidence only for relevant reasons.
Public / Buyer,Returns & disputes,B-026,Return/refund status,/account/returns/:returnId,Buyer,MVP,Desktop + Mobile,"Return submitted, order detail",View order / contact support,Order/support,"Seller response pending, rejected, refunded","Return timeline, seller/admin responses, refund estimate",Timelines reduce support tickets.
Public / Buyer,Returns & disputes,B-027,Dispute detail,/account/disputes/:disputeId,Buyer,MVP,Desktop + Mobile,Return rejected/escalation,Send message / upload evidence,Dispute status/support,"Closed dispute, missing evidence","Thread, evidence, decision timeline",Keep dispute messages structured; avoid free-form chaos.
Public / Buyer,Account,B-028,Buyer profile,/account/profile,Buyer,MVP,Desktop + Mobile,Account nav,Save profile,Account,"Validation, save failed","Profile form, preferences",Keep minimum data; collect only useful profile info.
Public / Buyer,Account,B-029,Saved addresses,/account/addresses,Buyer,MVP,Desktop + Mobile,"Account nav, checkout",Add address,Checkout/account,"No addresses, invalid address","Address cards, add/edit modal",Reusable address component for checkout and account.
Public / Buyer,Account,B-030,Payment methods placeholder,/account/payment-methods,Buyer,Later,Desktop + Mobile,Account nav,Add payment method,Account,Provider unavailable,Payment method cards,May be unnecessary if using hosted checkout only.
Public / Buyer,Notifications,B-031,Notification centre,/account/notifications,"Buyer, Seller",MVP,Desktop + Mobile,"Bell icon, email link",Open related item,Order/product/ticket,No notifications,"Notification list, unread filters",Notifications should deep-link to the object they mention.
Public / Buyer,Support,B-032,Support tickets,/account/support,"Buyer, Seller",MVP,Desktop + Mobile,"Help, order detail",Create ticket,Ticket detail,No tickets,"Ticket list, category filter",Support should start from object context: order/product/seller.
Public / Buyer,Support,B-033,Help centre,/help,"Guest, Buyer, Seller",MVP,Desktop + Mobile,"Footer, support, account",Search help,Article/contact,No article found,"FAQ, search, contact CTA","Reduce support load with clear returns, payout, fees info."
Public / Buyer,Buyer AI,B-034,AI shopping/style assistant,/ai-assistant,Buyer,Later,Desktop + Mobile,"Nav, search, product pages",Ask AI,AI results/product detail,"No products, AI unavailable","Chat, suggestion chips, product cards",AI must only recommend real products from backend results.
Public / Buyer,Buyer AI,B-035,AI refined recommendations,/ai-assistant/results,Buyer,Later,Desktop + Mobile,AI assistant response,Refine / add to cart,Product detail/cart,"No match, budget too low","Product bundles, filters, prompt chips","Group recommendations by outfit, occasion, budget."
Public / Buyer,Visual search,B-036,Visual search upload,/visual-search,Buyer,Later,Desktop + Mobile,"Search bar camera icon, AI assistant",Upload image,Visual search results,"Upload failed, unsupported file","Image uploader, examples, privacy note",Make image upload frictionless; show examples.
Public / Buyer,Visual search,B-037,Visual search results,/visual-search/results,Buyer,Later,Desktop + Mobile,Upload complete,Open product / refine,Product detail/search,No similar products,"Detected attributes, product grid, filters",Let users edit detected category/colour/style.
Auth,Authentication,A-001,Login,/auth/login,Guest,MVP,Desktop + Mobile,"Protected route, header",Login,Previous route/dashboard,"Invalid login, locked account","Email/password form, social optional","After login, return user to original intent."
Auth,Authentication,A-002,Register buyer,/auth/register,Guest,MVP,Desktop + Mobile,"Checkout, nav",Create account,Email verification/profile,"Email exists, weak password","Registration form, terms checkbox",Keep buyer registration short.
Auth,Authentication,A-003,Forgot password,/auth/forgot-password,Guest,MVP,Desktop + Mobile,Login,Send reset link,Login,Email not found generic state,Email form,Avoid revealing whether email exists.
Auth,Authentication,A-004,Email verification,/auth/verify-email,"Guest, Buyer, Seller",MVP,Desktop + Mobile,Registration email link,Continue,Dashboard/home,"Expired token, resend",Verification state card,Clear next step based on role.
Seller,Seller onboarding,S-001,Seller registration choice,/sell,"Guest, Buyer",MVP,Desktop + Mobile,Header Sell on Swyftly,Start selling,Seller onboarding,Already seller,"Benefits, fee summary, CTA",Emphasise free listings and only pay when you sell.
Seller,Seller onboarding,S-002,Onboarding welcome checklist,/seller/onboarding,Seller,MVP,Desktop + Mobile,Seller registration,Continue,Store details,Incomplete checklist,"Step checklist, progress bar",Show the full process so sellers know what is needed.
Seller,Seller onboarding,S-003,Storefront setup,/seller/onboarding/storefront,Seller,MVP,Desktop + Mobile,Onboarding checklist,Save and continue,Business details,"Store name taken, missing image","Store name, logo, banner, description",Auto-generate slug; preview as seller types.
Seller,Seller onboarding,S-004,Business/personal details,/seller/onboarding/details,Seller,MVP,Desktop + Mobile,Storefront step,Save and continue,Payout details,"Validation, document upload fail","Business type, contact, ID/company fields",Support both individual and business sellers.
Seller,Seller onboarding,S-005,Payout details,/seller/onboarding/payout,Seller,MVP,Desktop + Mobile,Business details,Save and continue,Shipping origin,Bank validation failed,"Bank details, payout notice",Sensitive changes later require additional verification.
Seller,Seller onboarding,S-006,Shipping origin and return address,/seller/onboarding/shipping,Seller,MVP,Desktop + Mobile,Payout details,Save and continue,Seller agreement,Invalid address,"Address form, shipping policy summary",This address feeds fulfilment and return workflows.
Seller,Seller onboarding,S-007,Seller agreement,/seller/onboarding/agreement,Seller,MVP,Desktop + Mobile,Shipping step,Submit for review,Verification pending,Agreement not accepted,"Terms summary, policy links, checkbox","Use clear seller obligations: product accuracy, shipping, returns."
Seller,Seller onboarding,S-008,Verification pending,/seller/onboarding/pending,Seller,MVP,Desktop + Mobile,Agreement submit,Go to dashboard,Seller dashboard limited,"Rejected, needs more info","Pending card, checklist, expected next steps","Let seller draft products while verification is pending, but not publish/sell."
Seller,Seller onboarding,S-009,Verification result,/seller/onboarding/result,Seller,MVP,Desktop + Mobile,Admin decision,Fix issues / Go to dashboard,Onboarding/dashboard,"Rejected, resubmit needed","Result card, admin notes","Provide specific next actions, not vague rejection."
Seller,Seller dashboard,S-010,Seller dashboard overview,/seller/dashboard,Seller,MVP,Desktop + Mobile,Seller nav,Create product,Products/orders/analytics,"No products, pending verification","KPI cards, tasks, recent orders, AI CTA","Use dashboard as action hub, not just metrics."
Seller,Seller storefront,S-011,Storefront preview,/seller/storefront/preview,Seller,MVP,Desktop + Mobile,Dashboard/store settings,Edit storefront,Store settings,Missing banner/logo,Public store preview frame,Preview should mirror buyer-facing storefront.
Seller,Product management,S-012,Seller products list,/seller/products,Seller,MVP,Desktop + Mobile,Dashboard/sidebar,Create product,Product draft/detail,"No products, filters empty","Product table/cards, status filters, bulk actions",Mobile should use product cards instead of dense table.
Seller,Product creation,S-013,Product draft: upload images,/seller/products/new/images,Seller,MVP,Desktop + Mobile,Create product,Continue,Basic details,"Upload failed, invalid image","Image uploader, drag/drop, reorder, photo tips",Start with images because fashion is visual; allow skip with warning.
Seller,Product creation,S-014,Product draft: basic details,/seller/products/:id/basics,Seller,MVP,Desktop + Mobile,Images step,Continue / Generate with AI,Category/AI,"Title missing, text limits","Title, short notes, description, brand, condition",Show AI CTA after minimum notes/images are present.
Seller,Product creation,S-015,Product draft: category and attributes,/seller/products/:id/category,Seller,MVP,Desktop + Mobile,"Basic details, AI suggestion",Continue,Variants,"Invalid category, missing required attrs","Category picker, dynamic attributes",Attributes must change by category.
Seller,Product creation,S-016,Product draft: variants and stock,/seller/products/:id/variants,Seller,MVP,Desktop + Mobile,Category step,Continue,Pricing/shipping,"No variants, negative stock","Variant matrix, size/colour rows, SKU, stock",Use bulk add sizes/colours for clothing.
Seller,Product creation,S-017,Product draft: pricing,/seller/products/:id/pricing,Seller,MVP,Desktop + Mobile,Variants step,Continue,Shipping/returns,"Invalid price, fee preview error","Price, sale price, fee preview, seller earnings",Show estimated payout to build trust.
Seller,Product creation,S-018,Product draft: shipping and returns,/seller/products/:id/shipping,Seller,MVP,Desktop + Mobile,Pricing step,Continue,Preview,"Policy conflict, missing weight/dimensions","Shipping options, handling time, return policy",Default from seller store settings but allow override.
Seller,Product creation,S-019,Product draft: preview listing,/seller/products/:id/preview,Seller,MVP,Desktop + Mobile,Shipping step,Submit for review,Submitted/status detail,"Missing fields, moderation warning","Buyer-style preview, quality checklist",Preview should reveal exactly what buyer will see.
Seller,Product creation,S-020,Product submitted confirmation,/seller/products/:id/submitted,Seller,MVP,Desktop + Mobile,Submit review,View status,Product status detail/products list,Submission failed,"Confirmation card, review timeline",Set expectation for admin/moderation state.
Seller,Product management,S-021,Product status/detail,/seller/products/:id,Seller,MVP,Desktop + Mobile,Product list/submission,Edit / resolve issue,Edit/preview,"Rejected, changes requested, archived","Status timeline, product data, moderation notes",Always show why product is not published yet.
Seller,AI Listing Assistant,S-022,AI assistant panel entry,/seller/products/:id/ai,Seller,MVP,Desktop + Mobile,Product draft basics/images,Generate suggestions,AI processing/suggestions,"Insufficient input, AI unavailable","AI prompt input, context summary, generate CTA",Frame AI as helper: “Generate draft” not “auto-publish”.
Seller,AI Listing Assistant,S-023,AI image analysis state,/seller/products/:id/ai/analyzing,Seller,MVP,Desktop + Mobile,Generate AI,Review suggestions,Suggestions,Image analysis failed,"Progress, detected image qualities, fallback",Allow user to continue with text-only suggestions if image analysis fails.
Seller,AI Listing Assistant,S-024,AI suggestion review,/seller/products/:id/ai/suggestions,Seller,MVP,Desktop + Mobile,AI generated,Apply selected suggestions,Product draft fields,"Invalid JSON handled server-side, low confidence category","Suggestion cards: title, description, category, attrs, tags","Allow field-by-field acceptance, not all-or-nothing."
Seller,AI Listing Assistant,S-025,AI missing fields checklist,/seller/products/:id/ai/missing-fields,Seller,MVP,Desktop + Mobile,"Suggestion review, product preview",Resolve fields,Product preview,"Optional fields, required fields","Checklist, inline jumps to fields",Clicking each missing field should jump to the exact form control.
Seller,AI Listing Assistant,S-026,AI risk warning review,/seller/products/:id/ai/risk,Seller,MVP,Desktop + Mobile,AI/moderation flags,Edit product / acknowledge,Draft/preview,High-risk blocked,"Risk cards, explanation, safe wording suggestions",Use neutral language: “needs confirmation” not accusation.
Seller,Product management,S-027,Bulk product import,/seller/products/import,Seller,Later,Desktop,Products page,Upload CSV,Import review,"CSV invalid, mapping errors","CSV uploader, column mapping, validation results",Useful later for larger boutiques.
Seller,Inventory,S-028,Inventory overview,/seller/inventory,Seller,MVP,Desktop + Mobile,"Sidebar, dashboard",Adjust stock,Adjustment modal/product detail,"Low stock, no variants","Inventory table/cards, low-stock filter",Surface low stock and reserved stock separately.
Seller,Inventory,S-029,Inventory adjustment modal,/seller/inventory/:variantId/adjust,Seller,MVP,Desktop + Mobile,Inventory row,Save adjustment,Inventory overview,"Negative stock, reason missing","Adjustment form, reason selector",Require reason for audit trail.
Seller,Order management,S-030,Seller orders list,/seller/orders,Seller,MVP,Desktop + Mobile,Dashboard/sidebar,Open order,Order detail,"No orders, filter empty","Order table/cards, status tabs","Status tabs: New, Processing, Shipped, Returns."
Seller,Order management,S-031,Seller order detail,/seller/orders/:orderId,Seller,MVP,Desktop + Mobile,"Orders list, notification",Prepare order / upload tracking,Fulfilment/tracking,"Cancelled, disputed","Order summary, buyer shipping details, items, payout hold",Show payout status linked to order status.
Seller,Order management,S-032,Fulfil order checklist,/seller/orders/:orderId/fulfil,Seller,MVP,Desktop + Mobile,Order detail,Mark ready / shipped,Tracking upload/order detail,"Missing item, cancellation request","Packing checklist, item quantities, notes",Reduce mistakes with item checklist and variant details.
Seller,Order management,S-033,Upload tracking,/seller/orders/:orderId/tracking,Seller,MVP,Desktop + Mobile,Fulfil/order detail,Save tracking,Order detail,"Invalid tracking, courier missing","Courier selector, tracking number, dispatch date",Buyer notification fires after save.
Seller,Returns & disputes,S-034,Seller return request detail,/seller/returns/:returnId,Seller,MVP,Desktop + Mobile,Notification/orders,Accept / dispute / message buyer,Return timeline,"Deadline expired, escalated","Return reason, evidence, policy, response options",Show response deadline clearly.
Seller,Returns & disputes,S-035,Refund proposal / settlement,/seller/returns/:returnId/refund,Seller,MVP,Desktop + Mobile,Return detail,Accept refund / propose partial,Return status,"Invalid amount, admin approval required","Refund amount, ledger impact, notes",Explain payout impact before seller confirms.
Seller,Support,S-036,Seller support/messages,/seller/support,Seller,MVP,Desktop + Mobile,"Sidebar, disputes",Create ticket,Ticket detail,No tickets,"Ticket list, context filters",Link tickets to order/product when possible.
Seller,Finance,S-037,Seller balance,/seller/finance/balance,Seller,MVP,Desktop + Mobile,Sidebar/dashboard,Request payout,Payout request/history,"No balance, on hold","Balance cards, pending/available/on hold, ledger list",Use plain language for pending vs available funds.
Seller,Finance,S-038,Payout history,/seller/finance/payouts,Seller,MVP,Desktop + Mobile,Finance nav,View payout,Payout detail,No payouts,"Payout table/cards, statuses",Include payment provider reference when available.
Seller,Finance,S-039,Payout settings,/seller/finance/settings,Seller,MVP,Desktop + Mobile,Finance nav,Save changes,Finance,"Verification required, locked during review","Bank details, payout schedule, security warning",Require extra auth/verification for changes.
Seller,Analytics,S-040,Seller analytics overview,/seller/analytics,Seller,Later,Desktop + Mobile,Dashboard/sidebar,View product performance,Product analytics,No data,"Sales KPIs, conversion, traffic, top products",Launch once tracking data is meaningful.
Seller,Analytics,S-041,Product performance detail,/seller/analytics/products/:productId,Seller,Later,Desktop + Mobile,Analytics/products,Improve listing / promote,Product edit/campaign,No data,"Views, clicks, conversion, returns, suggestions",Connect analytics to action: improve or promote.
Seller,Advertising,S-042,Ad campaign dashboard,/seller/ads,Seller,Later,Desktop + Mobile,Seller nav,Create campaign,Campaign wizard,"No campaigns, not eligible","Campaign table/cards, budget summary, metrics",Show ad eligibility before asking seller to configure campaign.
Seller,Advertising,S-043,Create campaign: choose type,/seller/ads/new/type,Seller,Later,Desktop + Mobile,Ad dashboard,Continue,Select products,Not eligible,"Campaign type cards: featured product, sponsored search, store spotlight",Start simple with featured products before CPC complexity.
Seller,Advertising,S-044,Create campaign: select products,/seller/ads/new/products,Seller,Later,Desktop + Mobile,Campaign type,Continue,Targeting/placement,No eligible products,"Product selector, quality score, stock status",Disable ineligible products with reason.
Seller,Advertising,S-045,Create campaign: targeting and placement,/seller/ads/new/targeting,Seller,Later,Desktop + Mobile,Product selection,Continue,Budget,Invalid placement,"Placement picker, category/keyword targeting",Keep targeting simple for MVP ads.
Seller,Advertising,S-046,Create campaign: budget and schedule,/seller/ads/new/budget,Seller,Later,Desktop + Mobile,Targeting,Continue,Review,"Budget too low, date invalid","Budget input, schedule, forecast estimate",Forecast must be labelled estimated.
Seller,Advertising,S-047,Create campaign: review and submit,/seller/ads/new/review,Seller,Later,Desktop + Mobile,Budget step,Submit campaign,Campaign pending,Submission failed,"Summary, preview placement, terms",Show ad preview and total max spend clearly.
Seller,Advertising,S-048,Campaign status/detail,/seller/ads/:campaignId,Seller,Later,Desktop + Mobile,Ad dashboard/submission,Pause / edit / view analytics,Analytics/dashboard,"Pending approval, rejected, paused","Status header, budget spend, product list",Do not allow editing fields that break active campaign billing.
Seller,Advertising,S-049,Campaign analytics,/seller/ads/:campaignId/analytics,Seller,Later,Desktop + Mobile,Campaign detail,Optimise campaign,Edit/product analytics,"No impressions, tracking delay","Impressions, clicks, CTR, sales, ROAS",Explain attribution window clearly.
Seller,Settings,S-050,Store settings,/seller/settings/store,Seller,MVP,Desktop + Mobile,Sidebar,Save changes,Store preview,"Slug conflict, upload fail","Store profile form, policies",Changes to public store should preview before save.
Seller,Notifications,S-051,Seller notifications,/seller/notifications,Seller,MVP,Desktop + Mobile,Bell/sidebar,Open related item,Order/product/return,No notifications,"Notification list, filters",Separate urgent operational items from general updates.
Seller,Help,S-052,Seller help centre,/seller/help,Seller,MVP,Desktop + Mobile,Sidebar/support,Search help,Article/support,No article,"Seller FAQs, fees, shipping, payout guide",Make policies discoverable before disputes happen.
Admin,Admin auth,AD-001,Admin login,/admin/login,"Admin, SupportAgent",MVP,Desktop,Admin URL,Login,Admin dashboard,"MFA required, invalid credentials","Login, MFA step",Admin access should be separate and protected.
Admin,Dashboard,AD-002,Admin dashboard overview,/admin,"Admin, SupportAgent",MVP,Desktop,Admin login,Open queue,Seller/product/order/finance queues,"No data, data loading","KPI cards, action queues, risk alerts",Prioritise work queues over vanity metrics.
Admin,Seller approval,AD-003,Seller approval queue,/admin/sellers/approvals,Admin,MVP,Desktop,Dashboard queue,Review seller,Seller detail,No pending sellers,"Queue table, risk filters, SLA badges",Sort by risk/age of request.
Admin,Seller approval,AD-004,Seller verification detail,/admin/sellers/:sellerId/verification,Admin,MVP,Desktop,Approval queue,Approve / reject / request info,Queue/seller profile,"Missing docs, suspicious info","Seller data, documents, storefront preview, notes",Every decision needs a reason and audit log.
Admin,Seller risk,AD-005,Seller risk profile,/admin/sellers/:sellerId/risk,Admin,MVP,Desktop,"Seller profile, risk alerts",Suspend / hold payouts,Seller profile,Insufficient data,"Risk signals, disputes, refunds, flags, actions",Do not automate punitive actions without human review initially.
Admin,Product moderation,AD-006,Product moderation queue,/admin/products/moderation,Admin,MVP,Desktop,Dashboard/product submission,Review product,Moderation detail,No pending products,"Moderation table, filters, risk badges",Show high-risk products first.
Admin,Product moderation,AD-007,Product moderation detail,/admin/products/:productId/moderation,Admin,MVP,Desktop,Moderation queue,Approve / reject / request changes,Queue/seller notification,"Image unavailable, seller suspended","Product preview, seller, AI flags, notes",Admin sees buyer preview plus hidden risk data.
Admin,AI moderation,AD-008,AI risk review,/admin/ai-risk/:reviewId,Admin,MVP,Desktop,"AI flag, product moderation",Resolve risk,Product moderation,"False positive, escalation","Flag details, phrases, image refs, AI summary",Allow marking false positives to improve rules.
Admin,Product moderation,AD-009,Request changes/rejection composer,/admin/products/:productId/reject,Admin,MVP,Desktop,Moderation detail,Send decision,Queue/product,Missing reason,"Reason templates, custom note, policy reference",Use templates for consistency and seller clarity.
Admin,Catalog management,AD-010,Category management,/admin/catalog/categories,Admin,MVP,Desktop,Admin nav,Add/edit category,Category detail,No categories,"Category tree, status, sort order",Category changes affect product forms and filters.
Admin,Catalog management,AD-011,Category attribute builder,/admin/catalog/categories/:id/attributes,Admin,MVP,Desktop,Category detail,Save attributes,Category management,Validation conflict,"Attribute list, required flags, options",This powers dynamic product creation forms.
Admin,Catalog management,AD-012,Brand management,/admin/catalog/brands,Admin,MVP,Desktop,Admin nav,Add brand,Brand detail,Duplicate brand,"Brand table, verification status",Luxury brands can trigger proof requirements.
Admin,Users,AD-013,User management,/admin/users,"Admin, SupportAgent",MVP,Desktop,Admin nav,Open user,User detail,No matches,"Search, filters, user table",Support needs fast lookup by email/order.
Admin,Users,AD-014,Buyer admin profile,/admin/buyers/:buyerId,"Admin, SupportAgent",MVP,Desktop,User search/order,View orders/support,Order/ticket,Privacy restricted,"Buyer details, orders, tickets, notes",Limit sensitive data by role.
Admin,Users,AD-015,Seller admin profile,/admin/sellers/:sellerId,"Admin, SupportAgent",MVP,Desktop,Seller search/product/order,Review seller,Risk/profile/orders,Suspended seller,"Seller details, products, orders, payouts, flags",One central seller view reduces admin context switching.
Admin,Orders,AD-016,Admin orders dashboard,/admin/orders,"Admin, SupportAgent",MVP,Desktop,Admin nav,Open order,Order detail,No orders,"Order table, status filters, payment state","Search by order ID, buyer, seller, tracking."
Admin,Orders,AD-017,Admin order detail,/admin/orders/:orderId,"Admin, SupportAgent",MVP,Desktop,"Orders dashboard, support ticket",Take action / open payment,Payment/refund/dispute,Restricted action,"Order timeline, buyer/seller, items, payment, shipment, return",Admin order detail is the operational source of truth.
Admin,Payments,AD-018,Payment events,/admin/payments/events,Admin,MVP,Desktop,"Order detail, finance nav",Open event,Ledger/detail,"Duplicate webhook, failed webhook","Payment event table, provider refs",Webhook idempotency visibility is important.
Admin,Finance,AD-019,Ledger detail,/admin/finance/ledger/:ledgerGroupId,Admin,MVP,Desktop,Order/payment/payout,Export / audit,Finance dashboard,Unbalanced ledger,"Ledger entries, totals, references",Show debits/credits and related order/payment/payout.
Admin,Refunds,AD-020,Refund queue,/admin/refunds,"Admin, SupportAgent",MVP,Desktop,Return/dispute/order,Review refund,Refund detail/order,No refunds,"Refund table, risk, amount, deadline",Sort by pending payment impact and age.
Admin,Disputes,AD-021,Return/dispute queue,/admin/disputes,"Admin, SupportAgent",MVP,Desktop,"Dashboard, escalations",Review dispute,Dispute detail,No disputes,"Dispute table, status, SLA",Use SLA badges to avoid stale disputes.
Admin,Disputes,AD-022,Dispute detail,/admin/disputes/:disputeId,"Admin, SupportAgent",MVP,Desktop,Dispute queue,Resolve / request evidence,Queue/order,"Insufficient evidence, appealed","Evidence, messages, timeline, decision tools",Decision should generate buyer/seller notifications.
Admin,Payouts,AD-023,Payout queue,/admin/payouts,Admin,MVP,Desktop,Finance nav,Review payout,Payout detail,"No payouts, failed payout","Payout table, seller risk, amount, status",High-risk payouts should be visually separated.
Admin,Payouts,AD-024,Payout detail / release / hold,/admin/payouts/:payoutId,Admin,MVP,Desktop,Payout queue,Release / hold / fail,Queue/seller finance,Balance mismatch,"Payout summary, related ledger, seller risk, actions",Actions require confirmation and audit reason.
Admin,Finance,AD-025,Seller balance adjustment,/admin/sellers/:sellerId/balance-adjustment,Admin,Later,Desktop,"Seller profile, finance",Submit adjustment,Ledger/seller profile,"Invalid amount, approval required","Adjustment form, reason, approval workflow",Restrict to finance admins only.
Admin,Support,AD-026,Support ticket inbox,/admin/support,"SupportAgent, Admin",MVP,Desktop,Admin nav,Open ticket,Ticket detail,No tickets,"Inbox, queues, priority, assignment",Use assignment and statuses early.
